,Map Country,Temp Country,Similarity
0,Cabo Verde,Cape Verde,0.8
1,Eq. Guinea,Equatorial Guinea,0.6666666666666666
2,Faeroe Is.,Faroe Islands,0.6956521739130435
3,Fr. Polynesia,French Polynesia,0.8275862068965517
4,Fr. S. Antarctic Lands,French Southern and Antarctic Lands,0.7017543859649122
5,Heard I. and McDonald Is.,Heard Island and McDonald Islands,0.7931034482758621
6,Macao,Macau,0.8
7,N. Mariana Is.,Northern Mariana Islands,0.631578947368421
8,Palestine,Palestina,0.8888888888888888
9,St-Barthélemy,Saint Barthélemy,0.8275862068965517
10,St-Martin,Saint Martin,0.7619047619047619
11,St. Kitts and Nevis,Saint Kitts and Nevis,0.9
12,St. Pierre and Miquelon,Saint Pierre and Miquelon,0.9166666666666666
13,São Tomé and Principe,Sao Tome and Principe,0.9047619047619048
14,Turks and Caicos Is.,Turks and Caicas Islands,0.8181818181818182
15,U.S. Virgin Is.,Virgin Islands,0.6206896551724138
16,W. Sahara,Western Sahara,0.6956521739130435
17,S. Geo. and the Is.,South Georgia and the South Sandwich Isla,0.666
