,"In Temp, not in Map (10)","In Map, not in Temp (44)"
0,Burma,Akrotiri
1,Congo (Democratic Republic of the),Ashmore and Cartier Is.
2,Czech Republic,Baikonur
3,Denmark (Europe),Bajo Nuevo Bank
4,Federated States of Micronesia,Bermuda
5,France (Europe),Br. Indian Ocean Ter.
6,Netherlands (Europe),Brunei
7,Swaziland,Clipperton I.
8,United Kingdom (Europe),Cook Is.
9,United States,Coral Sea Is.
10,,Cyprus U.N. Buffer Zone
11,,Czechia
12,,Dem. Rep. Congo
13,,Denmark
14,,Dhekelia
15,,France
16,,Gibraltar
17,,Indian Ocean Ter.
18,,Kosovo
19,,Maldives
20,,Marshall Is.
21,,Micronesia
22,,Myanmar
23,,N. Cyprus
24,,Nauru
25,,Netherlands
26,,Norfolk Island
27,,Pitcairn Is.
28,,S. Sudan
29,,Saint Helena
30,,Scarborough Reef
31,,Serranilla Bank
32,,Siachen Glacier
33,,Somaliland
34,,Spratly Is.
35,,Tuvalu
36,,U.S. Minor Outlying Is.
37,,USNB Guantanamo Bay
38,,United Kingdom
39,,United States of America
40,,Vanuatu
41,,Vatican
42,,Wallis and Futuna Is.
43,,eSwatini
