,"In Temp, not in Map","In Map, not in Temp"
0,Antigua and Barbuda,Akrotiri
1,Baker Island,Antigua and Barb.
2,"Bonaire, Saint Eustatius and Saba",Ashmore and Cartier Is.
3,Bosnia and Herzegovina,Baikonur
4,British Virgin Islands,Bajo Nuevo Bank
5,Burma,Bermuda
6,Cape Verde,Bosnia and Herz.
7,Cayman Islands,Br. Indian Ocean Ter.
8,Central African Republic,British Virgin Is.
9,Christmas Island,Brunei
10,Congo (Democratic Republic of the),Cabo Verde
11,Curaçao,Cayman Is.
12,Czech Republic,Central African Rep.
13,Côte d'Ivoire,Clipperton I.
14,Denmark (Europe),Cook Is.
15,Dominican Republic,Coral Sea Is.
16,Equatorial Guinea,CuraÃ§ao
17,Falkland Islands (Islas Malvinas),Cyprus U.N. Buffer Zone
18,Faroe Islands,Czechia
19,Federated States of Micronesia,CÃ´te d'Ivoire
20,France (Europe),Dem. Rep. Congo
21,French Guiana,Dhekelia
22,French Polynesia,Dominican Rep.
23,French Southern and Antarctic Lands,Eq. Guinea
24,Gaza Strip,Faeroe Is.
25,Guadeloupe,Falkland Is.
26,Heard Island and McDonald Islands,Fr. Polynesia
27,Kingman Reef,Fr. S. Antarctic Lands
28,Macau,Gibraltar
29,Martinique,Heard I. and McDonald Is.
30,Mayotte,Indian Ocean Ter.
31,Netherlands (Europe),Kosovo
32,Northern Mariana Islands,Macao
33,Palestina,Maldives
34,Palmyra Atoll,Marshall Is.
35,Reunion,Micronesia
36,Saint Barthélemy,Myanmar
37,Saint Kitts and Nevis,N. Cyprus
38,Saint Martin,N. Mariana Is.
39,Saint Pierre and Miquelon,Nauru
40,Saint Vincent and the Grenadines,Norfolk Island
41,Sao Tome and Principe,Palestine
42,Solomon Islands,Pitcairn Is.
43,South Georgia and the South Sandwich Isla,S. Geo. and the Is.
44,Svalbard and Jan Mayen,S. Sudan
45,Swaziland,Saint Helena
46,Turks and Caicas Islands,Scarborough Reef
47,United Kingdom (Europe),Serranilla Bank
48,United States,Siachen Glacier
49,Virgin Islands,Solomon Is.
50,Western Sahara,Somaliland
51,Åland,Spratly Is.
52,,St-BarthÃ©lemy
53,,St-Martin
54,,St. Kitts and Nevis
55,,St. Pierre and Miquelon
56,,St. Vin. and Gren.
57,,SÃ£o TomÃ© and Principe
58,,Turks and Caicos Is.
59,,Tuvalu
60,,U.S. Minor Outlying Is.
61,,U.S. Virgin Is.
62,,USNB Guantanamo Bay
63,,United States of America
64,,Vanuatu
65,,Vatican
66,,W. Sahara
67,,Wallis and Futuna Is.
68,,eSwatini
69,,Ã…land
