,"In Temp, not in Map (49)","In Map, not in Temp (67)"
0,Antigua and Barbuda,Akrotiri
1,Baker Island,Antigua and Barb.
2,"Bonaire, Saint Eustatius and Saba",Ashmore and Cartier Is.
3,Bosnia and Herzegovina,Baikonur
4,British Virgin Islands,Bajo Nuevo Bank
5,Burma,Bermuda
6,Cape Verde,Bosnia and Herz.
7,Cayman Islands,Br. Indian Ocean Ter.
8,Central African Republic,British Virgin Is.
9,Christmas Island,Brunei
10,Congo (Democratic Republic of the),Cabo Verde
11,Czech Republic,Cayman Is.
12,Denmark (Europe),Central African Rep.
13,Dominican Republic,Clipperton I.
14,Equatorial Guinea,Cook Is.
15,Falkland Islands (Islas Malvinas),Coral Sea Is.
16,Faroe Islands,Cyprus U.N. Buffer Zone
17,Federated States of Micronesia,Czechia
18,France (Europe),Dem. Rep. Congo
19,French Guiana,Dhekelia
20,French Polynesia,Dominican Rep.
21,French Southern and Antarctic Lands,Eq. Guinea
22,Gaza Strip,Faeroe Is.
23,Guadeloupe,Falkland Is.
24,Heard Island and McDonald Islands,Fr. Polynesia
25,Kingman Reef,Fr. S. Antarctic Lands
26,Macau,Gibraltar
27,Martinique,Heard I. and McDonald Is.
28,Mayotte,Indian Ocean Ter.
29,Netherlands (Europe),Kosovo
30,Northern Mariana Islands,Macao
31,Palestina,Maldives
32,Palmyra Atoll,Marshall Is.
33,Reunion,Micronesia
34,Saint Barthélemy,Myanmar
35,Saint Kitts and Nevis,N. Cyprus
36,Saint Martin,N. Mariana Is.
37,Saint Pierre and Miquelon,Nauru
38,Saint Vincent and the Grenadines,Norfolk Island
39,Sao Tome and Principe,Palestine
40,Solomon Islands,Pitcairn Is.
41,South Georgia and the South Sandwich Isla,S. Geo. and the Is.
42,Svalbard and Jan Mayen,S. Sudan
43,Swaziland,Saint Helena
44,Turks and Caicas Islands,Scarborough Reef
45,United Kingdom (Europe),Serranilla Bank
46,United States,Siachen Glacier
47,Virgin Islands,Solomon Is.
48,Western Sahara,Somaliland
49,,Spratly Is.
50,,St-Barthélemy
51,,St-Martin
52,,St. Kitts and Nevis
53,,St. Pierre and Miquelon
54,,St. Vin. and Gren.
55,,São Tomé and Principe
56,,Turks and Caicos Is.
57,,Tuvalu
58,,U.S. Minor Outlying Is.
59,,U.S. Virgin Is.
60,,USNB Guantanamo Bay
61,,United States of America
62,,Vanuatu
63,,Vatican
64,,W. Sahara
65,,Wallis and Futuna Is.
66,,eSwatini
